"","PyLabel","X","Y","Length","Area","Mean","StdDev","Min","Max","ID","Source_File","CV","Pigmentation","log.Length","Family","Link","PC1","PC2","PC3"
"1",1,5902,840,6.84,11.45,112.43,30.56,33,202,"ID1","Sample_001a_ID1.jpg",0.271814,0.559098,0.835056,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID1.jpg",0.0695812,-0.421479,0.311316
"2",2,5867,898,10.41,31.1,136.04,27.65,40,221,"ID2","Sample_001a_ID2.jpg",0.203249,0.46651,1.01745,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID2.jpg",1.3084,3.97498,-2.2004
"3",3,5844,829,7.75,14.2,94.46,25.6,32,198,"ID3","Sample_001a_ID3.jpg",0.271014,0.629569,0.889302,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID3.jpg",0.594552,-0.957183,0.309597
"4",4,5880,823,9.89,24.73,101.99,28.15,25,244,"ID4","Sample_001a_ID4.jpg",0.276007,0.600039,0.995196,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID4.jpg",1.36515,1.15274,-0.645616
"5",5,5837,848,6.93,12.29,114.1,28.35,45,215,"ID5","Sample_001a_ID5.jpg",0.248466,0.552549,0.840733,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID5.jpg",0.103019,-0.209887,0.0737637
"6",6,6074,870,9.59,21.93,62.31,24.78,6,214,"ID6","Sample_001a_ID6.jpg",0.397689,0.755647,0.981819,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID6.jpg",1.704,-1.55779,-0.867452
"7",7,5889,816,9.44,21.12,81.36,26.47,19,208,"ID7","Sample_001a_ID7.jpg",0.325344,0.680941,0.974972,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID7.jpg",1.38813,-0.562717,-0.175723
"8",8,5811,865,9.59,21.62,97.12,29.97,16,221,"ID8","Sample_001a_ID8.jpg",0.308587,0.619137,0.981819,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID8.jpg",1.22975,0.454581,0.35238
"9",9,5872,888,10.43,22.06,79.48,27.83,20,219,"ID9","Sample_001a_ID9.jpg",0.350151,0.688314,1.01828,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID9.jpg",1.62839,-0.330596,1.57492
"10",10,5860,712,9.25,20.94,103.17,31.06,25,234,"ID10","Sample_001a_ID10.jpg",0.301057,0.595412,0.966142,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID10.jpg",1.0589,0.653589,0.125415
"11",11,5945,886,8.28,16.64,95.92,30.83,22,209,"ID11","Sample_001a_ID11.jpg",0.321414,0.623843,0.91803,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID11.jpg",0.782759,-0.476741,0.161437
"12",12,5860,851,9.61,22.14,100.75,27.59,20,215,"ID12","Sample_001a_ID12.jpg",0.273846,0.604902,0.982723,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID12.jpg",1.21002,0.72951,0.197012
"13",13,5806,945,10.92,30.38,84.61,24.43,16,222,"ID13","Sample_001a_ID13.jpg",0.288737,0.668196,1.03822,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID13.jpg",2.041,0.997049,-2.07758
"14",14,5807,885,9.82,24.23,76.32,26.15,11,213,"ID14","Sample_001a_ID14.jpg",0.342636,0.700706,0.992112,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID14.jpg",1.66815,-0.427678,-1.27677
"15",15,5832,818,9.82,25.31,103.12,24.04,37,210,"ID15","Sample_001a_ID15.jpg",0.233126,0.595608,0.992112,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID15.jpg",1.36576,1.26543,-1.12652
"16",16,5862,923,10.1,24.9,78.59,29.78,11,223,"ID16","Sample_001a_ID16.jpg",0.378929,0.691804,1.00432,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID16.jpg",1.71835,-0.15327,-0.940162
"17",17,5810,885,10.54,29.43,72.64,29.88,13,220,"ID17","Sample_001a_ID17.jpg",0.411344,0.715137,1.02284,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID17.jpg",2.08828,0.097675,-2.77419
"18",18,5867,826,7.63,10.97,121.39,25.75,50,231,"ID18","Sample_001a_ID18.jpg",0.212126,0.523961,0.882525,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID18.jpg",0.0647047,0.244479,2.75502
"19",19,5868,863,7.63,15.18,120.73,25.53,58,215,"ID19","Sample_001a_ID19.jpg",0.211464,0.526549,0.882525,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID19.jpg",0.273706,0.664758,0.216793
"20",20,5801,847,6.48,10.15,105.11,25.61,40,219,"ID20","Sample_001a_ID20.jpg",0.24365,0.587804,0.811575,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID20.jpg",0.0422794,-1.08083,0.01012
"21",21,5885,768,6.29,9.39,118.16,27.77,50,230,"ID21","Sample_001a_ID21.jpg",0.23502,0.536627,0.798651,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID21.jpg",-0.198908,-0.442697,0.397936
