"","PyLabel","X","Y","Length","Area","Mean","StdDev","Min","Max","ID","Source_File","CV","Pigmentation","log.Length","Family","Link","Width","HeadArea","PC1","PC2","PC3"
"1",1,5902,840,6.84,11.45,112.43,30.56,33,202,"ID1","Sample_001a_ID1.jpg",0.271814,0.559098,0.835056,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID1.jpg",5.23211,1.30584,-0.362312,-0.297509,1.29822
"2",2,5867,898,10.41,31.1,136.04,27.65,40,221,"ID2","Sample_001a_ID2.jpg",0.203249,0.46651,1.01745,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID2.jpg",6.79274,7.47338,-0.501856,4.67575,-0.71795
"3",3,5844,829,7.75,14.2,94.46,25.6,32,198,"ID3","Sample_001a_ID3.jpg",0.271014,0.629569,0.889302,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID3.jpg",2.30366,1.33423,-0.40999,-1.40943,-0.820967
"4",4,5880,823,9.89,24.73,101.99,28.15,25,244,"ID4","Sample_001a_ID4.jpg",0.276007,0.600039,0.995196,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID4.jpg",7.04637,3.76811,-1.09601,1.36986,1.01987
"5",5,5837,848,6.93,12.29,114.1,28.35,45,215,"ID5","Sample_001a_ID5.jpg",0.248466,0.552549,0.840733,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID5.jpg",3.92062,1.04299,-0.0558372,-0.608541,0.662843
"6",6,6074,870,9.59,21.93,62.31,24.78,6,214,"ID6","Sample_001a_ID6.jpg",0.397689,0.755647,0.981819,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID6.jpg",6.76393,1.89086,-2.15635,-1.41086,1.15284
"7",7,5889,816,9.44,21.12,81.36,26.47,19,208,"ID7","Sample_001a_ID7.jpg",0.325344,0.680941,0.974972,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID7.jpg",5.0138,2.43513,-1.33679,-0.682223,0.076977
"8",8,5811,865,9.59,21.62,97.12,29.97,16,221,"ID8","Sample_001a_ID8.jpg",0.308587,0.619137,0.981819,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID8.jpg",6.60869,2.30176,-1.10341,0.0873512,1.40528
"9",9,5872,888,10.43,22.06,79.48,27.83,20,219,"ID9","Sample_001a_ID9.jpg",0.350151,0.688314,1.01828,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID9.jpg",5.77399,2.38615,-1.55406,-0.709426,0.513223
"10",10,5860,712,9.25,20.94,103.17,31.06,25,234,"ID10","Sample_001a_ID10.jpg",0.301057,0.595412,0.966142,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID10.jpg",5.38483,1.45798,-0.707694,-0.546798,1.13892
"11",11,5945,886,8.28,16.64,95.92,30.83,22,209,"ID11","Sample_001a_ID11.jpg",0.321414,0.623843,0.91803,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID11.jpg",4.89815,3.01804,-1.06997,-0.0284693,-0.197341
"12",12,5860,851,9.61,22.14,100.75,27.59,20,215,"ID12","Sample_001a_ID12.jpg",0.273846,0.604902,0.982723,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID12.jpg",6.14954,5.72565,-1.24373,2.28589,-0.689511
"13",13,5806,945,10.92,30.38,84.61,24.43,16,222,"ID13","Sample_001a_ID13.jpg",0.288737,0.668196,1.03822,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID13.jpg",8.80814,2.4657,-1.5582,0.595038,2.74893
"14",14,5807,885,9.82,24.23,76.32,26.15,11,213,"ID14","Sample_001a_ID14.jpg",0.342636,0.700706,0.992112,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID14.jpg",8.36326,5.37592,-2.23844,1.69583,0.554506
"15",15,5832,818,9.82,25.31,103.12,24.04,37,210,"ID15","Sample_001a_ID15.jpg",0.233126,0.595608,0.992112,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID15.jpg",3.659,3.02387,-0.432183,0.352962,-0.669701
"16",16,5862,923,10.1,24.9,78.59,29.78,11,223,"ID16","Sample_001a_ID16.jpg",0.378929,0.691804,1.00432,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID16.jpg",4.86497,2.91607,-1.64538,-0.821943,-0.499723
"17",17,5810,885,10.54,29.43,72.64,29.88,13,220,"ID17","Sample_001a_ID17.jpg",0.411344,0.715137,1.02284,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID17.jpg",3.36486,5.8365,-2.07365,0.197702,-3.31337
"18",18,5867,826,7.63,10.97,121.39,25.75,50,231,"ID18","Sample_001a_ID18.jpg",0.212126,0.523961,0.882525,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID18.jpg",3.07676,2.06746,0.214871,0.161501,-0.297286
"19",19,5868,863,7.63,15.18,120.73,25.53,58,215,"ID19","Sample_001a_ID19.jpg",0.211464,0.526549,0.882525,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID19.jpg",3.64071,1.11198,0.252706,-0.270346,0.616974
"20",20,5801,847,6.48,10.15,105.11,25.61,40,219,"ID20","Sample_001a_ID20.jpg",0.24365,0.587804,0.811575,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID20.jpg",4.99143,2.53826,-0.524944,0.383768,0.476498
