"PyLabel"	"X"	"Y"	"Length"	"Area"	"Mean"	"StdDev"	"Min"	"Max"	"ID"	"Source_File"	"CV"	"Pigmentation"	"log.Length"	"Family"	"Link"
"1"	1	5902	840	6.84	11.45	112.43	30.56	33	202	"ID1"	"Sample_001a_ID1.jpg"	0.271813572889798	0.559098039215686	0.835056101720116	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID1.jpg"
"2"	2	5867	898	10.41	31.1	136.04	27.65	40	221	"ID2"	"Sample_001a_ID2.jpg"	0.203249044398706	0.466509803921569	1.01745072951054	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID2.jpg"
"3"	3	5844	829	7.75	14.2	94.46	25.6	32	198	"ID3"	"Sample_001a_ID3.jpg"	0.271014185898793	0.629568627450981	0.88930170250631	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID3.jpg"
"4"	4	5880	823	9.89	24.73	101.99	28.15	25	244	"ID4"	"Sample_001a_ID4.jpg"	0.276007451710952	0.600039215686274	0.995196291597179	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID4.jpg"
"5"	5	5837	848	6.93	12.29	114.1	28.35	45	215	"ID5"	"Sample_001a_ID5.jpg"	0.248466257668712	0.552549019607843	0.840733234611807	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID5.jpg"
"6"	6	6074	870	9.59	21.93	62.31	24.78	6	214	"ID6"	"Sample_001a_ID6.jpg"	0.397688974482427	0.755647058823529	0.981818607170664	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID6.jpg"
"7"	7	5889	816	9.44	21.12	81.36	26.47	19	208	"ID7"	"Sample_001a_ID7.jpg"	0.325344149459194	0.680941176470588	0.974971994298069	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID7.jpg"
"8"	8	5811	865	9.59	21.62	97.12	29.97	16	221	"ID8"	"Sample_001a_ID8.jpg"	0.308587314662273	0.619137254901961	0.981818607170664	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID8.jpg"
"9"	9	5872	888	10.43	22.06	79.48	27.83	20	219	"ID9"	"Sample_001a_ID9.jpg"	0.350150981378963	0.688313725490196	1.01828430842653	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID9.jpg"
"10"	10	5860	712	9.25	20.94	103.17	31.06	25	234	"ID10"	"Sample_001a_ID10.jpg"	0.301056508675002	0.595411764705882	0.966141732739033	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID10.jpg"
"11"	11	5945	886	8.28	16.64	95.92	30.83	22	209	"ID11"	"Sample_001a_ID11.jpg"	0.321413678065054	0.623843137254902	0.91803033678488	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID11.jpg"
"12"	12	5860	851	9.61	22.14	100.75	27.59	20	215	"ID12"	"Sample_001a_ID12.jpg"	0.273846153846154	0.604901960784314	0.982723387668545	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID12.jpg"
"13"	13	5806	945	10.92	30.38	84.61	24.43	16	222	"ID13"	"Sample_001a_ID13.jpg"	0.288736555962652	0.668196078431373	1.03822263836872	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID13.jpg"
"14"	14	5807	885	9.82	24.23	76.32	26.15	11	213	"ID14"	"Sample_001a_ID14.jpg"	0.342636268343816	0.700705882352941	0.99211148778695	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID14.jpg"
"15"	15	5832	818	9.82	25.31	103.12	24.04	37	210	"ID15"	"Sample_001a_ID15.jpg"	0.233126454615981	0.595607843137255	0.99211148778695	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID15.jpg"
"16"	16	5862	923	10.1	24.9	78.59	29.78	11	223	"ID16"	"Sample_001a_ID16.jpg"	0.378928616872376	0.691803921568627	1.00432137378264	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID16.jpg"
"17"	17	5810	885	10.54	29.43	72.64	29.88	13	220	"ID17"	"Sample_001a_ID17.jpg"	0.411343612334802	0.715137254901961	1.02284061087653	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID17.jpg"
"18"	18	5867	826	7.63	10.97	121.39	25.75	50	231	"ID18"	"Sample_001a_ID18.jpg"	0.212126204794464	0.523960784313726	0.882524537954881	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID18.jpg"
"19"	19	5868	863	7.63	15.18	120.73	25.53	58	215	"ID19"	"Sample_001a_ID19.jpg"	0.211463596454899	0.526549019607843	0.882524537954881	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID19.jpg"
"20"	20	5801	847	6.48	10.15	105.11	25.61	40	219	"ID20"	"Sample_001a_ID20.jpg"	0.243649510037104	0.587803921568627	0.811575005870593	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID20.jpg"
"21"	21	5885	768	6.29	9.39	118.16	27.77	50	230	"ID21"	"Sample_001a_ID21.jpg"	0.235020311442112	0.536627450980392	0.798650645445269	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID21.jpg"
"22"	22	5788	783	6.4	9.18	133.66	24.31	55	215	"ID22"	"Sample_001a_ID22.jpg"	0.181879395481071	0.475843137254902	0.806179973983887	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID22.jpg"
"23"	23	5937	875	7.69	14.14	118.58	25.76	47	222	"ID23"	"Sample_001a_ID23.jpg"	0.217237308146399	0.534980392156863	0.885926339801431	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID23.jpg"
"24"	24	5894	858	8.28	14.85	124.29	28.68	45	229	"ID24"	"Sample_001a_ID24.jpg"	0.230750663770215	0.512588235294118	0.91803033678488	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID24.jpg"
"25"	25	5866	806	6.7	10.43	111.43	33.79	30	220	"ID25"	"Sample_001a_ID25.jpg"	0.303239702055102	0.563019607843137	0.826074802700826	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID25.jpg"
"26"	26	5795	843	7.48	13.09	98.03	31.74	26	221	"ID26"	"Sample_001a_ID26.jpg"	0.323778435172906	0.61556862745098	0.873901597864461	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID26.jpg"
"27"	27	5827	866	7.67	14.65	119.79	23.98	49	212	"ID27"	"Sample_001a_ID27.jpg"	0.200183654729109	0.530235294117647	0.884795363948981	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID27.jpg"
"28"	28	5877	832	8.05	15.68	131.19	29.72	43	230	"ID28"	"Sample_001a_ID28.jpg"	0.226541657138501	0.485529411764706	0.905795880367869	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID28.jpg"
"29"	29	5765	817	7.05	12.07	110.53	28.16	43	233	"ID29"	"Sample_001a_ID29.jpg"	0.25477245996562	0.566549019607843	0.848189116991399	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID29.jpg"
"30"	30	5889	826	6.29	10.09	109.93	25.24	38	210	"ID30"	"Sample_001a_ID30.jpg"	0.229600654962249	0.568901960784314	0.798650645445269	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID30.jpg"
"31"	31	5851	817	7.82	14.58	98.5	30.35	23	229	"ID31"	"Sample_001a_ID31.jpg"	0.308121827411168	0.613725490196078	0.893206753059848	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID31.jpg"
"32"	32	5912	789	8.15	13.82	96.81	26.31	29	206	"ID32"	"Sample_001a_ID32.jpg"	0.271769445305237	0.620352941176471	0.911157608739977	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID32.jpg"
"33"	33	5910	891	8.07	15.93	97.87	25.31	28	225	"ID33"	"Sample_001a_ID33.jpg"	0.258608358025953	0.616196078431373	0.90687353472207	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID33.jpg"
"34"	34	5905	759	9.25	17.52	89.83	29.22	24	219	"ID34"	"Sample_001a_ID34.jpg"	0.325281086496716	0.647725490196079	0.966141732739033	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID34.jpg"
"35"	35	5780	873	7.94	15	96.79	25.57	31	210	"ID35"	"Sample_001a_ID35.jpg"	0.264180183903296	0.620431372549019	0.899820502427096	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID35.jpg"
"36"	36	5854	944	8.77	19.18	69.37	24.23	19	207	"ID36"	"Sample_001a_ID36.jpg"	0.349286435058383	0.727960784313725	0.94299959336604	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID36.jpg"
"37"	37	5797	891	10.16	25.5	137.1	20.99	58	226	"ID37"	"Sample_001a_ID37.jpg"	0.15309992706054	0.462352941176471	1.0068937079479	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID37.jpg"
"38"	38	5919	850	7.56	13.81	103.53	26.33	29	223	"ID38"	"Sample_001a_ID38.jpg"	0.254322418622621	0.594	0.878521795501206	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID38.jpg"
"39"	39	5849	830	3.53	2.77	131.23	25.13	73	217	"ID39"	"Sample_001a_ID39.jpg"	0.191495846986207	0.485372549019608	0.547774705387823	"fam2"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID39.jpg"
"40"	40	5856	826	4.1	3.42	157.73	26.53	69	232	"ID40"	"Sample_001a_ID40.jpg"	0.16819882076967	0.381450980392157	0.612783856719735	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID40.jpg"
"41"	41	5859	834	4.46	4.79	130.33	27.22	59	231	"ID41"	"Sample_001a_ID41.jpg"	0.208854446405279	0.488901960784314	0.649334858712142	"fam4"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID41.jpg"
"42"	42	5845	835	4.44	3.71	130.22	28.06	68	234	"ID42"	"Sample_001a_ID42.jpg"	0.21548149285824	0.489333333333333	0.64738297011462	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID42.jpg"
"43"	43	5848	850	5.24	6.44	122.74	30.49	43	238	"ID43"	"Sample_001a_ID43.jpg"	0.248411275867688	0.518666666666667	0.719331286983727	"fam3"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID43.jpg"
"44"	44	5854	835	4.46	4.1	152.41	28.26	77	230	"ID44"	"Sample_001a_ID44.jpg"	0.185420904140148	0.402313725490196	0.649334858712142	"fam1"	"https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID44.jpg"
