PyLabel	X	Y	Length	Area	Mean	StdDev	Min	Max	ID	Source_File	CV	Pigmentation	log.Length	Link
1	5902	840	6.84	11.45	112.43	30.56	33	202	ID1	Sample_001a_ID1.jpg	0.271813573	0.559098039	0.835056102	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID1.jpg
2	5867	898	10.41	31.1	136.04	27.65	40	221	ID2	Sample_001a_ID2.jpg	0.203249044	0.466509804	1.01745073	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID2.jpg
3	5844	829	7.75	14.2	94.46	25.6	32	198	ID3	Sample_001a_ID3.jpg	0.271014186	0.629568627	0.889301703	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID3.jpg
4	5880	823	9.89	24.73	101.99	28.15	25	244	ID4	Sample_001a_ID4.jpg	0.276007452	0.600039216	0.995196292	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID4.jpg
5	5837	848	6.93	12.29	114.1	28.35	45	215	ID5	Sample_001a_ID5.jpg	0.248466258	0.55254902	0.840733235	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID5.jpg
6	6074	870	9.59	21.93	62.31	24.78	6	214	ID6	Sample_001a_ID6.jpg	0.397688974	0.755647059	0.981818607	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID6.jpg
7	5889	816	9.44	21.12	81.36	26.47	19	208	ID7	Sample_001a_ID7.jpg	0.325344149	0.680941176	0.974971994	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID7.jpg
8	5811	865	9.59	21.62	97.12	29.97	16	221	ID8	Sample_001a_ID8.jpg	0.308587315	0.619137255	0.981818607	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID8.jpg
9	5872	888	10.43	22.06	79.48	27.83	20	219	ID9	Sample_001a_ID9.jpg	0.350150981	0.688313725	1.018284308	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID9.jpg
10	5860	712	9.25	20.94	103.17	31.06	25	234	ID10	Sample_001a_ID10.jpg	0.301056509	0.595411765	0.966141733	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID10.jpg
11	5945	886	8.28	16.64	95.92	30.83	22	209	ID11	Sample_001a_ID11.jpg	0.321413678	0.623843137	0.918030337	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID11.jpg
12	5860	851	9.61	22.14	100.75	27.59	20	215	ID12	Sample_001a_ID12.jpg	0.273846154	0.604901961	0.982723388	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID12.jpg
13	5806	945	10.92	30.38	84.61	24.43	16	222	ID13	Sample_001a_ID13.jpg	0.288736556	0.668196078	1.038222638	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID13.jpg
14	5807	885	9.82	24.23	76.32	26.15	11	213	ID14	Sample_001a_ID14.jpg	0.342636268	0.700705882	0.992111488	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID14.jpg
15	5832	818	9.82	25.31	103.12	24.04	37	210	ID15	Sample_001a_ID15.jpg	0.233126455	0.595607843	0.992111488	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID15.jpg
16	5862	923	10.1	24.9	78.59	29.78	11	223	ID16	Sample_001a_ID16.jpg	0.378928617	0.691803922	1.004321374	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID16.jpg
17	5810	885	10.54	29.43	72.64	29.88	13	220	ID17	Sample_001a_ID17.jpg	0.411343612	0.715137255	1.022840611	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID17.jpg
18	5867	826	7.63	10.97	121.39	25.75	50	231	ID18	Sample_001a_ID18.jpg	0.212126205	0.523960784	0.882524538	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID18.jpg
19	5868	863	7.63	15.18	120.73	25.53	58	215	ID19	Sample_001a_ID19.jpg	0.211463596	0.52654902	0.882524538	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID19.jpg
20	5801	847	6.48	10.15	105.11	25.61	40	219	ID20	Sample_001a_ID20.jpg	0.24364951	0.587803922	0.811575006	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID20.jpg
21	5885	768	6.29	9.39	118.16	27.77	50	230	ID21	Sample_001a_ID21.jpg	0.235020311	0.536627451	0.798650645	https://mluerig.github.io/RR_symposium/data/images/Sample_001a/Sample_001a_ID21.jpg
