PyLabel	X	Y	Length	Area	Mean	StdDev	Min	Max
1	5857	828	7.37	4.37	125.14	26.83	80	203
2	5916	291	2.68	2.87	131.12	20.21	65	209
3	5853	1026	7.37	4.3	131.03	25.64	87	207
4	5904	841	6.89	11.47	112.5	30.59	32	202
5	5866	899	10.43	31.2	136.14	27.69	40	220
6	5844	828	7.75	14.22	94.49	25.63	32	198
7	5880	823	9.89	24.7	101.89	28.09	23	248
8	5838	847	6.93	12.27	114.0	28.26	46	215
9	6074	870	9.57	21.95	62.31	24.77	5	212
10	5890	816	9.44	21.14	81.4	26.51	19	209
11	5811	865	9.59	21.63	97.13	29.99	16	221
12	5871	893	10.43	22.05	79.46	27.82	21	219
13	5858	709	9.25	21.02	103.39	31.26	23	234
14	5945	886	8.28	16.62	95.83	30.77	23	208
15	5860	851	9.61	22.15	100.74	27.59	22	215
16	5805	945	10.92	30.37	84.58	24.4	17	220
17	5807	886	9.82	24.25	76.34	26.17	10	213
18	5829	817	9.82	25.3	103.07	23.99	36	210
19	5860	923	10.1	24.89	78.55	29.76	11	222
20	5810	884	10.52	29.34	72.45	29.72	12	222
21	6027	488	5.94	12.04	90.71	26.62	26	200
22	5867	826	7.6	10.97	121.36	25.72	50	231
23	5868	864	7.63	15.19	120.74	25.53	57	217
24	5800	853	6.48	10.29	105.95	26.61	41	219
25	5883	768	6.29	9.35	118.0	27.67	49	228
26	5788	783	6.4	9.18	133.65	24.3	55	215
27	5937	876	7.69	14.14	118.58	25.77	47	217
28	5894	863	7.98	14.68	123.74	28.25	46	221
29	5866	805	6.65	10.37	111.15	33.65	31	220
30	5795	843	7.46	13.09	98.04	31.75	26	218
31	5827	867	7.67	14.66	119.8	24.0	48	211
32	5877	832	8.01	15.65	131.11	29.69	43	229
33	5765	817	7.05	12.07	110.51	28.13	42	233
34	5889	825	6.29	10.1	109.94	25.25	38	208
35	5852	817	7.82	14.58	98.5	30.36	24	230
36	5906	789	8.15	13.79	96.75	26.28	30	207
37	5910	891	8.07	15.93	97.86	25.3	26	225
38	5866	919	6.55	12.84	92.8	28.17	26	218
39	5779	871	7.92	14.97	96.7	25.51	31	210
40	5850	945	8.77	19.18	69.37	24.22	19	208
41	5796	890	10.16	25.47	137.05	20.98	58	224
42	5920	849	7.58	13.82	103.56	26.36	30	224
43	5618	842	12.82	28.83	201.34	13.12	91	237
44	5620	836	12.84	29.48	203.26	12.33	82	255
45	5849	830	3.53	2.77	131.3	25.17	73	215
46	5854	826	4.1	3.42	157.65	26.48	69	232
47	5846	835	4.44	3.7	129.97	27.87	69	234
48	5853	840	4.46	4.79	130.32	27.2	61	231
49	5849	850	5.24	6.44	122.7	30.45	44	237
50	5852	834	4.46	4.11	152.51	28.31	77	230
51	5860	820	4.18	3.94	137.99	25.48	74	233
52	5831	813	5.3	6.39	146.08	32.35	54	228
53	5916	822	5.56	7.02	128.43	27.44	54	215
54	5801	815	5.85	8.23	118.71	31.23	38	233
55	5861	816	5.51	6.86	131.84	33.29	48	235
56	5825	846	5.41	6.58	98.78	25.63	44	218
57	5869	838	5.41	6.9	109.05	30.17	41	230
58	5879	825	5.77	7.09	132.41	30.92	52	224
59	5871	802	6.36	9.33	126.51	29.58	45	251
60	5945	860	7.01	12.73	127.93	23.06	58	230
61	5846	822	6.51	10.01	113.15	28.91	44	208
62	5850	858	6.76	10.83	108.06	29.92	39	228
63	5836	747	12.65	5.44	178.58	15.13	113	204
64	5866	793	6.51	9.99	118.82	24.17	50	217
65	5906	840	7.05	10.91	109.98	32.38	31	229
66	5845	833	6.4	9.39	118.17	26.59	48	228
67	5843	886	6.25	11.6	118.02	26.88	45	209
68	5897	808	6.67	9.79	138.25	21.82	64	214
69	5851	916	0.59	0.16	96.79	30.53	62	223
70	5849	843	4.5	4.72	143.47	23.61	86	225
71	5866	829	3.06	2.2	164.82	24.69	89	227
72	5812	842	3.34	2.49	154.64	24.13	88	239
73	5846	841	4.37	4.46	132.05	29.97	62	227
74	5839	826	3.76	2.94	158.09	23.94	90	230
75	5848	836	4.18	4.21	145.64	24.55	74	235
76	5855	827	3.25	2.29	178.56	17.77	111	228
77	5857	839	4.31	3.82	167.62	28.99	91	242
78	5851	834	4.08	3.55	161.08	25.51	82	238
79	5843	833	5.2	6.09	146.24	23.51	79	236
80	5867	826	3.78	3.03	134.24	28.78	66	240
81	5857	809	3.34	2.33	175.81	18.66	97	242
82	5843	823	3.72	3.24	145.5	31.79	71	232
83	5864	845	4.03	3.33	136.84	28.53	73	238
84	5840	855	12.67	10.87	173.84	14.35	122	215
85	5613	847	12.8	27.39	200.98	18.1	85	250
