"PyLabel"	"X"	"Y"	"Length"	"Area"	"Mean"	"StdDev"	"Min"	"Max"	"ID"	"Source_File"	"CV"	"Pigmentation"	"log.Length"	"Link"
"1"	1	5857	828	7.37	4.37	125.14	26.83	80	203	"ID1"	"Sample_001b_ID1.jpg"	0.2143998721432	0.509254901960784	0.867467487859051	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID1.jpg"
"2"	2	5916	291	2.68	2.87	131.12	20.21	65	209	"ID2"	"Sample_001b_ID2.jpg"	0.154133618059793	0.485803921568627	0.428134794028789	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID2.jpg"
"3"	3	5853	1026	7.37	4.3	131.03	25.64	87	207	"ID3"	"Sample_001b_ID3.jpg"	0.195680378539266	0.486156862745098	0.867467487859051	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID3.jpg"
"4"	4	5904	841	6.89	11.47	112.5	30.59	32	202	"ID4"	"Sample_001b_ID4.jpg"	0.271911111111111	0.558823529411765	0.838219221907626	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID4.jpg"
"5"	5	5866	899	10.43	31.2	136.14	27.69	40	220	"ID5"	"Sample_001b_ID5.jpg"	0.203393565447334	0.466117647058824	1.01828430842653	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID5.jpg"
"6"	6	5844	828	7.75	14.22	94.49	25.63	32	198	"ID6"	"Sample_001b_ID6.jpg"	0.271245634458673	0.629450980392157	0.88930170250631	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID6.jpg"
"7"	7	5880	823	9.89	24.7	101.89	28.09	23	248	"ID7"	"Sample_001b_ID7.jpg"	0.275689469035234	0.60043137254902	0.995196291597179	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID7.jpg"
"8"	8	5838	847	6.93	12.27	114	28.26	46	215	"ID8"	"Sample_001b_ID8.jpg"	0.247894736842105	0.552941176470588	0.840733234611807	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID8.jpg"
"9"	9	6074	870	9.57	21.95	62.31	24.77	5	212	"ID9"	"Sample_001b_ID9.jpg"	0.397528486599262	0.755647058823529	0.980911937776844	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID9.jpg"
"10"	10	5890	816	9.44	21.14	81.4	26.51	19	209	"ID10"	"Sample_001b_ID10.jpg"	0.325675675675676	0.68078431372549	0.974971994298069	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID10.jpg"
"11"	11	5811	865	9.59	21.63	97.13	29.99	16	221	"ID11"	"Sample_001b_ID11.jpg"	0.308761453721816	0.619098039215686	0.981818607170664	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID11.jpg"
"12"	12	5871	893	10.43	22.05	79.46	27.82	21	219	"ID12"	"Sample_001b_ID12.jpg"	0.350113264535615	0.688392156862745	1.01828430842653	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID12.jpg"
"13"	13	5858	709	9.25	21.02	103.39	31.26	23	234	"ID13"	"Sample_001b_ID13.jpg"	0.302350324015862	0.594549019607843	0.966141732739033	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID13.jpg"
"14"	14	5945	886	8.28	16.62	95.83	30.77	23	208	"ID14"	"Sample_001b_ID14.jpg"	0.321089429197537	0.624196078431373	0.91803033678488	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID14.jpg"
"15"	15	5860	851	9.61	22.15	100.74	27.59	22	215	"ID15"	"Sample_001b_ID15.jpg"	0.273873337303951	0.604941176470588	0.982723387668545	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID15.jpg"
"16"	16	5805	945	10.92	30.37	84.58	24.4	17	220	"ID16"	"Sample_001b_ID16.jpg"	0.288484275242374	0.668313725490196	1.03822263836872	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID16.jpg"
"17"	17	5807	886	9.82	24.25	76.34	26.17	10	213	"ID17"	"Sample_001b_ID17.jpg"	0.34280848834163	0.700627450980392	0.99211148778695	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID17.jpg"
"18"	18	5829	817	9.82	25.3	103.07	23.99	36	210	"ID18"	"Sample_001b_ID18.jpg"	0.23275443873096	0.595803921568627	0.99211148778695	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID18.jpg"
"19"	19	5860	923	10.1	24.89	78.55	29.76	11	222	"ID19"	"Sample_001b_ID19.jpg"	0.378866963717377	0.691960784313725	1.00432137378264	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID19.jpg"
"20"	20	5810	884	10.52	29.34	72.45	29.72	12	222	"ID20"	"Sample_001b_ID20.jpg"	0.410213940648723	0.715882352941177	1.02201573981772	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID20.jpg"
"21"	21	6027	488	5.94	12.04	90.71	26.62	26	200	"ID21"	"Sample_001b_ID21.jpg"	0.293462683276375	0.644274509803922	0.773786444981194	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID21.jpg"
"22"	22	5867	826	7.6	10.97	121.36	25.72	50	231	"ID22"	"Sample_001b_ID22.jpg"	0.211931443638761	0.524078431372549	0.880813592280791	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID22.jpg"
"23"	23	5868	864	7.63	15.19	120.74	25.53	57	217	"ID23"	"Sample_001b_ID23.jpg"	0.211446082491304	0.526509803921569	0.882524537954881	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID23.jpg"
"24"	24	5800	853	6.48	10.29	105.95	26.61	41	219	"ID24"	"Sample_001b_ID24.jpg"	0.251156205757433	0.584509803921569	0.811575005870593	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID24.jpg"
"25"	25	5883	768	6.29	9.35	118	27.67	49	228	"ID25"	"Sample_001b_ID25.jpg"	0.234491525423729	0.537254901960784	0.798650645445269	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID25.jpg"
"26"	26	5788	783	6.4	9.18	133.65	24.3	55	215	"ID26"	"Sample_001b_ID26.jpg"	0.181818181818182	0.475882352941176	0.806179973983887	"https://mluerig.github.io/RR/data/images/Sample_001b/Sample_001b_ID26.jpg"
