PyLabel	X	Y	Length	Area	Mean	StdDev	Min	Max
1	5902	840	6.84	11.45	112.43	30.56	33	202
2	5867	898	10.41	31.1	136.04	27.65	40	221
3	5844	829	7.75	14.2	94.46	25.6	32	198
4	5880	823	9.89	24.73	101.99	28.15	25	244
5	5837	848	6.93	12.29	114.1	28.35	45	215
6	6074	870	9.59	21.93	62.31	24.78	6	214
7	5889	816	9.44	21.12	81.36	26.47	19	208
8	5811	865	9.59	21.62	97.12	29.97	16	221
9	5872	888	10.43	22.06	79.48	27.83	20	219
10	5860	712	9.25	20.94	103.17	31.06	25	234
11	5945	886	8.28	16.64	95.92	30.83	22	209
12	5860	851	9.61	22.14	100.75	27.59	20	215
13	5806	945	10.92	30.38	84.61	24.43	16	222
14	5807	885	9.82	24.23	76.32	26.15	11	213
15	5832	818	9.82	25.31	103.12	24.04	37	210
16	5862	923	10.1	24.9	78.59	29.78	11	223
17	5810	885	10.54	29.43	72.64	29.88	13	220
18	5867	826	7.63	10.97	121.39	25.75	50	231
19	5868	863	7.63	15.18	120.73	25.53	58	215
20	5801	847	6.48	10.15	105.11	25.61	40	219
21	5885	768	6.29	9.39	118.16	27.77	50	230
22	5788	783	6.4	9.18	133.66	24.31	55	215
23	5937	875	7.69	14.14	118.58	25.76	47	222
24	5894	858	8.28	14.85	124.29	28.68	45	229
25	5866	806	6.7	10.43	111.43	33.79	30	220
26	5795	843	7.48	13.09	98.03	31.74	26	221
27	5827	866	7.67	14.65	119.79	23.98	49	212
28	5877	832	8.05	15.68	131.19	29.72	43	230
29	5765	817	7.05	12.07	110.53	28.16	43	233
30	5889	826	6.29	10.09	109.93	25.24	38	210
31	5851	817	7.82	14.58	98.5	30.35	23	229
32	5912	789	8.15	13.82	96.81	26.31	29	206
33	5910	891	8.07	15.93	97.87	25.31	28	225
34	5905	759	9.25	17.52	89.83	29.22	24	219
35	5780	873	7.94	15.0	96.79	25.57	31	210
36	5854	944	8.77	19.18	69.37	24.23	19	207
37	5797	891	10.16	25.5	137.1	20.99	58	226
38	5919	850	7.56	13.81	103.53	26.33	29	223
39	5849	830	3.53	2.77	131.23	25.13	73	217
40	5856	826	4.1	3.42	157.73	26.53	69	232
41	5859	834	4.46	4.79	130.33	27.22	59	231
42	5845	835	4.44	3.71	130.22	28.06	68	234
43	5848	850	5.24	6.44	122.74	30.49	43	238
44	5854	835	4.46	4.1	152.41	28.26	77	230
45	5858	819	4.18	3.94	137.97	25.48	72	234
46	5829	812	5.28	6.39	146.09	32.36	52	227
47	5915	822	5.56	7.03	128.51	27.5	54	215
48	5800	816	5.85	8.21	118.57	31.14	39	232
49	5861	817	5.51	6.86	131.86	33.31	48	237
50	5822	845	5.41	6.58	98.83	25.66	45	218
51	5867	837	5.41	6.89	108.97	30.08	41	231
52	5877	825	5.79	7.1	132.51	30.97	52	227
53	5868	803	6.36	9.31	126.45	29.55	46	251
54	5936	856	7.01	12.75	128.03	23.16	56	230
55	5846	822	6.51	10.0	113.15	28.93	44	210
56	5850	857	6.76	10.83	108.05	29.91	37	230
57	5867	789	6.48	10.03	119.05	24.45	51	219
58	5892	847	7.05	10.94	110.11	32.46	31	229
59	5846	834	6.38	9.39	118.15	26.54	47	227
60	5843	886	6.25	11.61	118.07	26.91	45	239
61	5896	808	6.67	9.8	138.31	21.84	63	215
62	5849	844	4.5	4.74	143.58	23.65	86	225
63	5813	842	3.34	2.48	154.62	24.14	88	238
64	5846	841	4.37	4.47	132.22	30.08	63	228
65	5841	826	3.76	2.95	158.13	23.95	90	227
66	5848	836	4.16	4.17	145.31	24.34	73	235
67	5856	826	3.25	2.28	178.57	17.71	110	225
68	5859	839	4.31	3.81	167.59	29.03	91	242
69	5864	835	4.08	3.58	161.36	25.61	82	238
70	5843	833	5.2	6.09	146.26	23.53	77	237
71	5866	826	3.78	3.03	134.25	28.8	66	241
72	5857	779	3.34	2.33	175.88	18.72	98	242
73	5843	809	3.7	3.22	145.27	31.72	71	231
74	5864	791	4.03	3.32	136.54	28.34	74	238
